Flight Count,Year,Month,Week,Day,Day of Week,Holiday
3325,2018,7,30,23,Mon,
3295,2018,7,30,24,Tue,
3291,2018,7,30,25,Wed,
3325,2018,7,30,26,Thu,
3319,2018,7,30,27,Fri,
2806,2018,7,30,28,Sat,
3203,2018,7,30,29,Sun,
3324,2018,7,31,30,Mon,
3293,2018,7,31,31,Tue,
3290,2018,8,31,1,Wed,
3319,2018,8,31,2,Thu,
3314,2018,8,31,3,Fri,
2804,2018,8,31,4,Sat,
3193,2018,8,31,5,Sun,
3311,2018,8,32,6,Mon,
3265,2018,8,32,7,Tue,
3265,2018,8,32,8,Wed,
3311,2018,8,32,9,Thu,
3312,2018,8,32,10,Fri,
2758,2018,8,32,11,Sat,
3168,2018,8,32,12,Sun,
3279,2018,8,33,13,Mon,
3225,2018,8,33,14,Tue,
3238,2018,8,33,15,Wed,
3277,2018,8,33,16,Thu,
3277,2018,8,33,17,Fri,
2729,2018,8,33,18,Sat,
3134,2018,8,33,19,Sun,
3266,2018,8,34,20,Mon,
3141,2018,8,34,21,Tue,
3146,2018,8,34,22,Wed,
3186,2018,8,34,23,Thu,
3188,2018,8,34,24,Fri,
2571,2018,8,34,25,Sat,
3014,2018,8,34,26,Sun,
3170,2018,8,35,27,Mon,
3105,2018,8,35,28,Tue,
3128,2018,8,35,29,Wed,
3172,2018,8,35,30,Thu,
3166,2018,8,35,31,Fri,
2373,2018,9,35,1,Sat,
2533,2018,9,35,2,Sun,
3058,2018,9,36,3,Mon,Labor Day
3023,2018,9,36,4,Tue,
3034,2018,9,36,5,Wed,
3047,2018,9,36,6,Thu,
3048,2018,9,36,7,Fri,
2484,2018,9,36,8,Sat,
3020,2018,9,36,9,Sun,
3153,2018,9,37,10,Mon,
3053,2018,9,37,11,Tue,
3089,2018,9,37,12,Wed,
3185,2018,9,37,13,Thu,
3179,2018,9,37,14,Fri,
2540,2018,9,37,15,Sat,
3019,2018,9,37,16,Sun,
3178,2018,9,38,17,Mon,
3069,2018,9,38,18,Tue,
3103,2018,9,38,19,Wed,
3184,2018,9,38,20,Thu,
3178,2018,9,38,21,Fri,
2540,2018,9,38,22,Sat,
3015,2018,9,38,23,Sun,
3172,2018,9,39,24,Mon,
3067,2018,9,39,25,Tue,
3098,2018,9,39,26,Wed,
3178,2018,9,39,27,Thu,
3175,2018,9,39,28,Fri,
2536,2018,9,39,29,Sat,
3017,2018,9,39,30,Sun,
3177,2018,10,40,1,Mon,
3063,2018,10,40,2,Tue,
3079,2018,10,40,3,Wed,
3200,2018,10,40,4,Thu,
3202,2018,10,40,5,Fri,
2514,2018,10,40,6,Sat,
3003,2018,10,40,7,Sun,
3196,2018,10,41,8,Mon,Columbus Day
3059,2018,10,41,9,Tue,
3078,2018,10,41,10,Wed,
3216,2018,10,41,11,Thu,
3208,2018,10,41,12,Fri,
2531,2018,10,41,13,Sat,
3040,2018,10,41,14,Sun,
3213,2018,10,42,15,Mon,
3085,2018,10,42,16,Tue,
3104,2018,10,42,17,Wed,
3217,2018,10,42,18,Thu,
3203,2018,10,42,19,Fri,
2521,2018,10,42,20,Sat,
