Date,Airline,Flight Count,Year
2024-02-04,Delta,5139,2024
2024-02-11,Delta,5175,2024
2024-02-18,Delta,5246,2024
2024-02-25,Delta,5640,2024
2024-03-03,Delta,5613,2024
2024-03-10,Delta,5665,2024
2024-03-17,Delta,5913,2024
2024-03-24,Delta,5905,2024
2024-03-31,Delta,5913,2024
2024-04-07,Delta,5920,2024
2024-04-14,Delta,5980,2024
2024-04-21,Delta,6101,2024
2024-04-28,Delta,6137,2024
2024-05-05,Delta,6140,2024
2024-05-12,Delta,6284,2024
2024-05-19,Delta,6304,2024
2024-05-26,Delta,6107,2024
2024-06-02,Delta,6312,2024
2024-06-09,Delta,6416,2024
2024-06-16,Delta,6547,2024
2024-06-23,Delta,6571,2024
2024-06-30,Delta,6403,2024
2024-07-07,Delta,5783,2024
2024-07-14,Delta,6647,2024
2024-07-21,Delta,6643,2024
2024-07-28,Delta,6644,2024
2024-08-04,Delta,2840,2024
2017-01-01,Frontier,43,2017
2017-01-08,Frontier,308,2017
2017-01-15,Frontier,308,2017
2017-01-22,Frontier,303,2017
2017-01-29,Frontier,298,2017
2017-02-05,Frontier,280,2017
2017-02-12,Frontier,276,2017
2017-02-19,Frontier,290,2017
2017-02-26,Frontier,295,2017
2017-03-05,Frontier,292,2017
2017-03-12,Frontier,304,2017
2017-03-19,Frontier,314,2017
2017-03-26,Frontier,313,2017
2017-04-02,Frontier,309,2017
2017-04-09,Frontier,318,2017
2017-04-16,Frontier,318,2017
2017-04-23,Frontier,343,2017
2017-04-30,Frontier,375,2017
2017-05-07,Frontier,374,2017
2017-05-14,Frontier,377,2017
2017-05-21,Frontier,379,2017
2017-05-28,Frontier,391,2017
2017-06-04,Frontier,392,2017
2017-06-11,Frontier,395,2017
2017-06-18,Frontier,414,2017
2017-06-25,Frontier,415,2017
2017-07-02,Frontier,415,2017
2017-07-09,Frontier,414,2017
2017-07-16,Frontier,422,2017
2017-07-23,Frontier,431,2017
2017-07-30,Frontier,431,2017
2017-08-06,Frontier,432,2017
2017-08-13,Frontier,430,2017
2017-08-20,Frontier,359,2017
2017-08-27,Frontier,360,2017
2017-09-03,Frontier,358,2017
2017-09-10,Frontier,355,2017
2017-09-17,Frontier,353,2017
2017-09-24,Frontier,352,2017
2017-10-01,Frontier,351,2017
2017-10-08,Frontier,368,2017
2017-10-15,Frontier,392,2017
2017-10-22,Frontier,395,2017
2017-10-29,Frontier,395,2017
2017-11-05,Frontier,361,2017
2017-11-12,Frontier,343,2017
2017-11-19,Frontier,353,2017
2017-11-26,Frontier,370,2017
2017-12-03,Frontier,367,2017
2017-12-10,Frontier,365,2017
2017-12-17,Frontier,351,2017
2017-12-24,Frontier,352,2017
2017-12-31,Frontier,352,2017
2018-01-07,Frontier,351,2018
2018-01-14,Frontier,360,2018
2018-01-21,Frontier,358,2018
2018-01-28,Frontier,355,2018
2018-02-04,Frontier,356,2018
2018-02-11,Frontier,355,2018
2018-02-18,Frontier,356,2018
2018-02-25,Frontier,356,2018
2018-03-04,Frontier,356,2018
2018-03-11,Frontier,352,2018
2018-03-18,Frontier,349,2018
2018-03-25,Frontier,343,2018
2018-04-01,Frontier,341,2018
2018-04-08,Frontier,348,2018
2018-04-15,Frontier,365,2018
2018-04-22,Frontier,364,2018
2018-04-29,Frontier,364,2018
2018-05-06,Frontier,362,2018
2018-05-13,Frontier,365,2018
2018-05-20,Frontier,372,2018
2018-05-27,Frontier,375,2018
2018-06-03,Frontier,378,2018
2018-06-10,Frontier,382,2018
2018-06-17,Frontier,380,2018
